
Active Connections

  Proto  Local Address          Foreign Address        State
  TCP    10.21.251.1:62896      142.71.81.1:microsoft-ds  ESTABLISHED
  TCP    10.21.251.1:62975      sjc1-accesspoint-a87.sjc1.spotify.com:https  ESTABLISHED
  TCP    10.21.251.1:63247      stdbdecsup01.vch.ca:ms-sql-s  ESTABLISHED
  TCP    10.21.251.1:63263      stdbdecsup01.vch.ca:microsoft-ds  ESTABLISHED
  TCP    10.21.251.1:63319      stdbdecsup01.vch.ca:ms-sql-s  ESTABLISHED
  TCP    10.21.251.1:63345      stdbdecsup01.vch.ca:ms-sql-s  ESTABLISHED
  TCP    10.21.251.1:63610      spprt008.vch.ca:63969  ESTABLISHED
  TCP    10.21.251.1:63633      stdbdecsup01.vch.ca:ms-sql-s  ESTABLISHED
  TCP    [::1]:49158            PC030107.HealthBC.org:51256  ESTABLISHED
  TCP    [::1]:49158            PC030107.HealthBC.org:51261  ESTABLISHED
  TCP    [::1]:49158            PC030107.HealthBC.org:51262  ESTABLISHED
  TCP    [::1]:49158            PC030107.HealthBC.org:51263  ESTABLISHED
  TCP    [::1]:49158            PC030107.HealthBC.org:52502  ESTABLISHED
  TCP    [::1]:49158            PC030107.HealthBC.org:63244  ESTABLISHED
  TCP    [::1]:51185            PC030107.HealthBC.org:49158  TIME_WAIT
  TCP    [::1]:51186            PC030107.HealthBC.org:49158  TIME_WAIT
  TCP    [::1]:51256            PC030107.HealthBC.org:49158  ESTABLISHED
  TCP    [::1]:51261            PC030107.HealthBC.org:49158  ESTABLISHED
  TCP    [::1]:51262            PC030107.HealthBC.org:49158  ESTABLISHED
  TCP    [::1]:51263            PC030107.HealthBC.org:49158  ESTABLISHED
  TCP    [::1]:52502            PC030107.HealthBC.org:49158  ESTABLISHED
  TCP    [::1]:62736            PC030107.HealthBC.org:62738  ESTABLISHED
  TCP    [::1]:62738            PC030107.HealthBC.org:62736  ESTABLISHED
  TCP    [::1]:63244            PC030107.HealthBC.org:49158  ESTABLISHED
